Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Hantap,2023-12-20,-,"6,53","0,47",-,0
Dayeuhkolot,2023-12-20,-,40.97,3.6,-,0
Hantap,2023-12-21,-,"5,97","0,44",-,0
Dayeuhkolot,2023-12-21,-,39.59,3.47,-,0
Hantap,2023-12-22,-,"5,47","0,41",-,0
Dayeuhkolot,2023-12-22,-,40.08,3.44,-,0
Hantap,2023-12-23,"26,5","7,08","0,51",-,0
Dayeuhkolot,2023-12-23,6.5,51.13,3.96,-,0
Hantap,2023-12-24,10,"6,48","0,47",-,0
Dayeuhkolot,2023-12-24,15,77.19,5.03,-,0
Hantap,2023-12-25,7,"8,63","0,6",-,0
Dayeuhkolot,2023-12-25,52.5,85.88,5.27,-,0
Hantap,2023-12-26,17,"9,48","0,64",-,0
Dayeuhkolot,2023-12-26,4,84.82,5.21,-,0
Hantap,2023-12-27,29,"11,78","0,74",-,0
Dayeuhkolot,2023-12-27,7,98.07,5.61,-,0
Hantap,2023-12-28,"25,5","18,16","0,98",-,0
Dayeuhkolot,2023-12-28,15,94.45,5.42,-,0
Hantap,2023-12-29,-,"14,56","0,85",-,0
